"Geolocation","Threshold/Incidence/Parameters","Year","Value (Reported value — see source for units)","Source status","Release","Source"
"..National Capital Region (NCR) 1/, 2/, a/","Poverty Incidence among Population (%)","2021","3.5","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Poverty Incidence among Population (%)","2023","1.8","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Coefficient of Variation","2018","11.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Coefficient of Variation","2021","6.8","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Coefficient of Variation","2023","9.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Standard Error","2018","0.3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Standard Error","2021","0.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","Standard Error","2023","0.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","95% Confidence Interval (Lower Limit)","2018","1.7","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","95% Confidence Interval (Lower Limit)","2021","3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","95% Confidence Interval (Lower Limit)","2023","1.5","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","95% Confidence Interval (Upper Limit)","2018","2.7","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","95% Confidence Interval (Upper Limit)","2021","3.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"..National Capital Region (NCR) 1/, 2/, a/","95% Confidence Interval (Upper Limit)","2023","2.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Annual Per Capita Poverty Threshold (in PhP)","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Annual Per Capita Poverty Threshold (in PhP)","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Annual Per Capita Poverty Threshold (in PhP)","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Poverty Incidence among Population (%)","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Poverty Incidence among Population (%)","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Poverty Incidence among Population (%)","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Coefficient of Variation","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Coefficient of Variation","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Coefficient of Variation","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Standard Error","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Standard Error","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","Standard Error","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","95% Confidence Interval (Lower Limit)","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","95% Confidence Interval (Lower Limit)","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","95% Confidence Interval (Lower Limit)","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","95% Confidence Interval (Upper Limit)","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","95% Confidence Interval (Upper Limit)","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....1st District","95% Confidence Interval (Upper Limit)","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Annual Per Capita Poverty Threshold (in PhP)","2018","28682.27","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Annual Per Capita Poverty Threshold (in PhP)","2021","32977.94","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Annual Per Capita Poverty Threshold (in PhP)","2023","37710.94","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Poverty Incidence among Population (%)","2018","3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Poverty Incidence among Population (%)","2021","1.7","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Poverty Incidence among Population (%)","2023","2.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Coefficient of Variation","2018","30.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Coefficient of Variation","2021","32.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Coefficient of Variation","2023","27","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Standard Error","2018","0.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Standard Error","2021","0.6","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","Standard Error","2023","0.6","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","95% Confidence Interval (Lower Limit)","2018","1.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","95% Confidence Interval (Lower Limit)","2021","0.6","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","95% Confidence Interval (Lower Limit)","2023","1.1","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","95% Confidence Interval (Upper Limit)","2018","4.8","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","95% Confidence Interval (Upper Limit)","2021","2.8","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Manila a/, b/, c/","95% Confidence Interval (Upper Limit)","2023","3.7","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....2nd District","Annual Per Capita Poverty Threshold (in PhP)","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....2nd District","Annual Per Capita Poverty Threshold (in PhP)","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....2nd District","Annual Per Capita Poverty Threshold (in PhP)","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....2nd District","Poverty Incidence among Population (%)","2018","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....2nd District","Poverty Incidence among Population (%)","2021","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....2nd District","Poverty Incidence among Population (%)","2023","","..","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
